Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
680,Text,1/10/1996,The Golden Threshold,en,"Naidu, Sarojini, 1879-1949; Symons, Arthur, 1865-1945 [Contributor]",Indic poetry (English),PK,India
682,Text,1/10/1996,Catalan's Constant [Ramanujan's Formula],en,"Fee, Greg",Mathematical constants,QA,Mathematics
689,Text,18/3/2006,The Kreutzer Sonata and Other Stories,en,"Tolstoy, Leo, graf, 1828-1910; Tucker, Benjamin Ricketson, 1854-1939 [Translator]","Short stories; Russia -- Social life and customs -- Fiction; Murder -- Fiction; Jealousy -- Fiction; Tolstoy, Leo, graf, 1828-1910 -- Translations into English",PG,Anarchism; Harvard Classics; Banned Books from Anne Haight's list
690,Text,1/10/1996,Proposed Roads to Freedom,en,"Russell, Bertrand, 1872-1970",Socialism; Anarchism; Syndicalism; Guild socialism,HN,Philosophy
696,Text,1/10/1996,The Castle of Otranto,en,"Walpole, Horace, 1717-1797; Morley, Henry, 1822-1894 [Editor]",Horror tales; Inheritance and succession -- Fiction; Gothic fiction,PR,Gothic Fiction
697,Text,1/10/1996,The Light Princess,en,"MacDonald, George, 1824-1905","Fairy tales; Children's stories, English; Fairy tales -- Great Britain",PR; PZ,Children's Literature
699,Text,1/10/1996,A Child's History of England,en,"Dickens, Charles, 1812-1870; Townsend, F. H. (Frederick Henry), 1868-1920 [Illustrator]",Great Britain -- History -- Juvenile literature,DA,Children's History; United Kingdom
706,Text,1/11/1996,The Amateur Cracksman,en,"Hornung, E. W. (Ernest William), 1866-1921","England -- Fiction; Detective and mystery stories, English; Criminals -- Fiction; Raffles (Fictitious character) -- Fiction",PR,Crime Fiction
707,Text,1/11/1996,Raffles: Further Adventures of the Amateur Cracksman,en,"Hornung, E. W. (Ernest William), 1866-1921",Raffles (Fictitious character) -- Fiction; Criminals -- England -- Fiction; Mystery fiction,PR,Crime Fiction
708,Text,1/11/1996,The Princess and the Goblin,en,"MacDonald, George, 1824-1905",Fantasy literature; Fairy tales; Children's stories; Goblins -- Juvenile fiction; Princesses -- Juvenile fiction,PZ,Children's Literature
709,Text,1/11/1996,The Princess and Curdie,en,"MacDonald, George, 1824-1905",Fantasy literature; Fairy tales; Children's stories,PZ,Children's Literature
711,Text,18/11/2004,Allan Quatermain,en,"Haggard, H. Rider (Henry Rider), 1856-1925","Africa -- Fiction; Fantasy fiction; Adventure stories; Hunting guides -- Fiction; Quatermain, Allan (Fictitious character) -- Fiction",PR,Movie Books; Adventure
713,Text,1/11/1996,Memoirs of Extraordinary Popular Delusions — Volume 2,en,"Mackay, Charles, 1814-1889",Social psychology; Swindlers and swindling; Impostors and imposture; Alchemy; Delusions; Occultism -- Early works to 1900; Investments -- Psychological aspects; Stock exchanges -- Psychological aspects; Hallucinations and illusions; Common fallacies,AZ,Psychology
714,Text,1/11/1996,The Bobbsey Twins in the Country,en,"Hope, Laura Lee",Twins -- Juvenile fiction; Bobbsey Twins (Fictitious characters) -- Juvenile fiction; Siblings -- Juvenile fiction; Country life -- Juvenile fiction,PZ,Children's Book Series
718,Text,18/3/2006,Tono-Bungay,en,"Wells, H. G. (Herbert George), 1866-1946",Science fiction; Satire; England -- Fiction; Patent medicines -- Marketing -- Fiction; Pharmaceutical industry -- Fiction,PR,Best Books Ever Listings
721,Text,1/11/1996,The Birds' Christmas Carol,en,"Wiggin, Kate Douglas Smith, 1856-1923",Christmas stories; Children's stories; Terminally ill children -- Juvenile fiction,PZ; PS,Children's Literature
737,Text,1/12/1996,The Bobbsey Twins at School,en,"Hope, Laura Lee",Schools -- Juvenile fiction; Twins -- Juvenile fiction; Bobbsey Twins (Fictitious characters) -- Juvenile fiction; Siblings -- Juvenile fiction,PZ,Children's Book Series
744,Text,1/12/1996,The Golden Mean,en,"Bonnell, Jerry T.; Nemiroff, Robert J.",Mathematics,QA,Mathematics
747,Text,1/12/1996,Anomalies and Curiosities of Medicine,en,"Gould, George M. (George Milbrey), 1848-1922; Pyle, Walter L. (Walter Lytle), 1871-1921","Medicine -- Anecdotes; Abnormalities, Human",R,Medicine
754,Text,1/12/1996,The Story of Mankind,en,"Van Loon, Hendrik Willem, 1882-1944",World history; World history -- Juvenile literature,D,"Children's History; Bestsellers, American, 1895-1923"
765,Text,1/12/1996,The Moon Pool,en,"Merritt, Abraham, 1884-1943",Science fiction; Oceania -- Fiction; Geographical myths -- Fiction; Botanists -- Fiction,PS,Science Fiction
766,Text,1/12/1996,David Copperfield,en,"Dickens, Charles, 1812-1870",Orphans -- Fiction; Autobiographical fiction; England -- Fiction; Bildungsromans; Young men -- Fiction; Boys -- Fiction; Stepfathers -- Fiction; Child labor -- Fiction,PR,Harvard Classics
768,Text,1/12/1996,Wuthering Heights,en,"Brontë, Emily, 1818-1848",Revenge -- Fiction; Psychological fiction; Rejection (Psychology) -- Fiction; Love stories; Domestic fiction; Yorkshire (England) -- Fiction; Foundlings -- Fiction; Rural families -- Fiction; Heathcliff (Fictitious character : Brontë) -- Fiction; Triangles (Interpersonal relations) -- Fiction,PR,Best Books Ever Listings; Gothic Fiction; Movie Books
770,Text,1/1/1997,"The Story of the Treasure Seekers
Being the Adventures of the Bastable Children in Search of a Fortune",en,"Nesbit, E. (Edith), 1858-1924",Siblings -- Fiction; Family life -- England -- Fiction; Imagination -- Fiction; Moneymaking projects -- Fiction; Great Britain -- History -- 19th century -- Fiction,PR; PZ,Children's Fiction; Children's Literature
771,Text,1/1/1997,Biographical Notes on the Pseudonymous Bells,en,"Brontë, Charlotte, 1816-1855","Brontë family; Authors, English -- 19th century -- Biography; Brontë, Emily, 1818-1848; Brontë, Anne, 1820-1849",PR,Biographies
773,Text,1/1/1997,"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories",en,"Wilde, Oscar, 1854-1900","Manners and customs -- Fiction; Short stories, English",PR,Contemporary Reviews
775,Text,1/1/1997,When the Sleeper Wakes,en,"Wells, H. G. (Herbert George), 1866-1946",Science fiction; London (England) -- Fiction; Time travel -- Fiction; Twenty-first century -- Fiction; Dystopias -- Fiction; Technological innovations -- Fiction,PR,Science Fiction
778,Text,1/1/1997,Five Children and It,en,"Nesbit, E. (Edith), 1858-1924","Siblings -- Fiction; Wishes -- Fiction; Fairies -- Fiction; Great Britain -- History -- Edward VII, 1901-1910 -- Fiction",PR; PZ,Children's Literature
779,Text,1/1/1997,"The Tragical History of Doctor Faustus
From the Quarto of 1604",en,"Marlowe, Christopher, 1564-1593; Dyce, Alexander, 1798-1869 [Editor]","Germany -- Drama; Tragedies; Faust, -approximately 1540 -- Drama; Magicians -- Drama",PR,Harvard Classics
781,Text,1/1/1997,Sinking of the Titanic and Great Sea Disasters,en,"Marshall, Logan, 1884-1937 [Editor]",Titanic (Steamship); Shipwrecks -- North Atlantic Ocean,G,Children's History
792,Text,1/1/1997,"Wieland; Or, The Transformation: An American Tale",en,"Brown, Charles Brockden, 1771-1810","Horror tales; Psychological fiction; Epistolary fiction; Gothic fiction; Combustion, Spontaneous -- Fiction; Religious fanaticism -- Fiction; Siblings -- Fiction; Fathers -- Death -- Fiction; Radicals -- Fiction; Pennsylvania -- History -- Colonial period, ca. 1600-1775 -- Fiction",PS,Best Books Ever Listings; Gothic Fiction
793,Text,1/1/1997,Aeroplanes and Dirigibles of War,en,"Talbot, Frederick Arthur Ambrose, 1880-1924","Aeronautics, Military; Airplanes, Military -- History; World War, 1914-1918 -- Aerial operations; Airships -- History",TL; UG,World War I
794,Text,1/1/1997,The Wouldbegoods: Being the Further Adventures of the Treasure Seekers,en,"Nesbit, E. (Edith), 1858-1924",Adventure stories; Siblings -- Juvenile fiction; England -- Juvenile fiction; Country life -- Juvenile fiction; Children -- Juvenile fiction; Families -- Juvenile fiction,PR; PZ,Children's Fiction; Children's Literature
804,Text,1/2/1997,A Sentimental Journey Through France and Italy,en,"Sterne, Laurence, 1713-1768",Humorous stories; Psychological fiction; Clergy -- Fiction; Italy -- Fiction; France -- Fiction; Travelers -- Fiction; British -- Italy -- Fiction; British -- France -- Fiction,PR,Best Books Ever Listings; Harvard Classics; Banned Books from Anne Haight's list
807,Text,1/2/1997,Hunted Down: The Detective Stories of Charles Dickens,en,"Dickens, Charles, 1812-1870","Detective and mystery stories, English",PR,Detective Fiction
808,Text,1/2/1997,The Complete Plays of Gilbert and Sullivan,en,"Sullivan, Arthur, 1842-1900; Gilbert, W. S. (William Schwenck), 1836-1911",Operas -- Librettos,ML,Opera; Banned Books from Anne Haight's list
809,Text,1/2/1997,Holiday Romance,en,"Dickens, Charles, 1812-1870",Short stories; Children and adults -- Fiction,PR; PZ,Children's Picture Books
811,Text,1/2/1997,"The Tragical History of Doctor Faustus
From the Quarto of 1616",en,"Marlowe, Christopher, 1564-1593; Dyce, Alexander, 1798-1869 [Editor]","Germany -- Drama; Tragedies; Faust, -approximately 1540 -- Drama; Magicians -- Drama",PR,Harvard Classics
813,Text,1/2/1997,"Reminiscences of Tolstoy, by His Son",en,"Tolstoi, Ilia Lvovich, graf, 1866-1933; Calderon, George, 1868-1915 [Translator]","Tolstoy, Leo, graf, 1828-1910; Authors, Russian -- 19th century -- Biography",PG,Biographies
829,Text,1/2/1997,Gulliver's Travels into Several Remote Nations of the World,en,"Swift, Jonathan, 1667-1745","Fantasy fiction; Satire; Travelers -- Fiction; Gulliver, Lemuel (Fictitious character) -- Fiction; Voyages, Imaginary -- Early works to 1800",PR,Best Books Ever Listings; Banned Books from Anne Haight's list
830,Text,1/2/1997,The Argonautica,en,"Apollonius, Rhodius; Seaton, R. C. (Robert Cooper), 1853-1915 [Translator]","Classical literature; Argonauts (Greek mythology); Jason -- (Mythological character); Medea, consort of Aegeus, King of Athens (Mythological character)",PA,Classical Antiquity
831,Text,1/2/1997,Four Arthurian Romances,en,"Chrétien, de Troyes, active 12th century; Comfort, William Wistar, 1874-1955 [Translator]","Arthurian romances; Chrétien, de Troyes, active 12th century; Romances -- Translations into English; Tales, Medieval",PQ,Fantasy; Arthurian Legends
832,Text,21/1/2006,Robin Hood,en,"McSpadden, J. Walker (Joseph Walker), 1874-1960",Folklore -- England; Robin Hood (Legendary character) -- Legends,PZ,Fantasy
834,Text,1/3/1997,The Memoirs of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",PR,Detective Fiction
836,Text,1/3/1997,The Phoenix and the Carpet,en,"Nesbit, E. (Edith), 1858-1924","Fantasy fiction; Siblings -- Juvenile fiction; Magic -- Juvenile fiction; Great Britain -- History -- Edward VII, 1901-1910 -- Juvenile fiction; Phoenix (Mythical bird) -- Juvenile fiction",PR; PZ,Children's Fiction; Children's Literature
837,Text,1/3/1997,The Story of the Amulet,en,"Nesbit, E. (Edith), 1858-1924",Fantasy literature; Siblings -- Juvenile fiction; England -- Juvenile fiction; Wishes -- Juvenile fiction,PR; PZ,Children's Fiction; Children's Literature
840,Text,27/4/2006,Lorna Doone: A Romance of Exmoor,en,"Blackmore, R. D. (Richard Doddridge), 1825-1900","Historical fiction; Monmouth's Rebellion, 1685 -- Fiction; Love stories; Exmoor (England) -- Fiction",PR,Historical Fiction
841,Text,1/3/1997,"Men, Women and Ghosts",en,"Lowell, Amy, 1874-1925",American poetry,PS,Poetry
844,Text,1/3/1997,The Importance of Being Earnest: A Trivial Comedy for Serious People,en,"Wilde, Oscar, 1854-1900",Comedies; England -- Drama; Identity (Psychology) -- Drama; Foundlings -- Drama,PR,Plays
847,Text,21/1/2006,Lays of Ancient Rome,en,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",Rome -- History -- Poetry,PR,Poetry
848,Text,1/3/1997,The Black Arrow: A Tale of the Two Roses,en,"Stevenson, Robert Louis, 1850-1894","Historical fiction; Knights and knighthood -- Fiction; War stories; Bildungsromans; Young men -- Fiction; Guardian and ward -- Fiction; Great Britain -- History -- Wars of the Roses, 1455-1485 -- Fiction; Outlaws -- Fiction",PR,Children's Literature; Adventure; Historical Fiction; Movie Books
850,Text,1/3/1997,Tom Grogan,en,"Smith, Francis Hopkinson, 1838-1915",New York (N.Y.) -- Fiction; Widows -- Fiction; Stevedores -- Fiction,PS,"Bestsellers, American, 1895-1923"
852,Text,1/3/1997,Democracy and Education: An Introduction to the Philosophy of Education,en,"Dewey, John, 1859-1952",Education -- Social aspects; Education -- Philosophy,LB,Philosophy
854,Text,1/3/1997,A Woman of No Importance,en,"Wilde, Oscar, 1854-1900",Man-woman relationships -- Drama; English drama,PR,Plays
863,Text,1/3/1997,The Mysterious Affair at Styles,en,"Christie, Agatha, 1890-1976","Private investigators -- England -- Fiction; Detective and mystery stories; Belgians -- England -- Fiction; Poirot, Hercule (Fictitious character) -- Fiction",PR,Detective Fiction
864,Text,1/3/1997,The Master of Ballantrae: A Winter's Tale,en,"Stevenson, Robert Louis, 1850-1894",Historical fiction; Scotland -- History -- 18th century -- Fiction; Inheritance and succession -- Fiction; Revenge -- Fiction; Psychological fiction; Brothers -- Fiction; Absence and presumption of death -- Fiction,PR,Historical Fiction
871,Text,5/2/2006,"The Golden Sayings of Epictetus, with the Hymn of Cleanthes",en,"Epictetus, 55-135; Crossley, Hastings [Translator]",Philosophy; Stoics,PA,Classical Antiquity; Harvard Classics
873,Text,1/4/1997,A House of Pomegranates,en,"Wilde, Oscar, 1854-1900","Fairy tales; Children's stories, English; Short stories, English",PR; PZ,Opera
884,Text,1/4/1997,Memoirs of Extraordinary Popular Delusions — Volume 3,en,"Mackay, Charles, 1814-1889",Social psychology; Swindlers and swindling; Impostors and imposture; Alchemy; Delusions; Occultism -- Early works to 1900; Investments -- Psychological aspects; Stock exchanges -- Psychological aspects; Hallucinations and illusions; Common fallacies,AZ,Psychology
885,Text,1/4/1997,An Ideal Husband,en,"Wilde, Oscar, 1854-1900",Comedies; London (England) -- Drama,PR,Plays
887,Text,1/4/1997,Intentions,en,"Wilde, Oscar, 1854-1900","Authors, English -- 19th century -- Biography; Authorship; English drama; Authors, English -- 19th century -- Drama; Art critics -- Great Britain -- Biography; Wainewright, Thomas Griffiths, 1794-1847; Poisoners -- Great Britain -- Biography",PR,Contemporary Reviews
902,Text,1/5/1997,"The Happy Prince, and Other Tales",en,"Wilde, Oscar, 1854-1900","Fairy tales; Children's stories, English; Short stories, English",PR; PZ,Children's Literature
903,Text,1/5/1997,The White Company,en,"Doyle, Arthur Conan, 1859-1930","Historical fiction; Hundred Years' War, 1339-1453 -- Fiction; Knights and knighthood -- Fiction; Middle Ages -- Fiction; Archers -- Fiction; War stories; British -- France -- Fiction",PR,Historical Fiction
904,Text,1/5/1997,Her Father's Daughter,en,"Stratton-Porter, Gene, 1863-1924",Sisters -- Fiction; Friendship -- Fiction; Adventure and adventurers -- Fiction; California -- Fiction; Racism -- Fiction; Interpersonal relations -- Fiction,PS,"Bestsellers, American, 1895-1923"
910,Text,1/5/1997,White Fang,en,"London, Jack, 1876-1916","Wolfdogs -- Fiction; Adventure stories; Canada, Northern -- Fiction",PS,Movie Books; Adventure
917,Text,27/4/2006,Barnaby Rudge: A Tale of the Riots of 'Eighty,en,"Dickens, Charles, 1812-1870","Historical fiction; Gordon Riots, 1780 -- Fiction; London (England) -- History -- 18th century -- Fiction; Apprentices -- Fiction; Political fiction; Mystery fiction; Locksmiths -- Fiction",PR,Historical Fiction
919,Text,1/5/1997,Ethics — Part 1,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
920,Text,1/5/1997,Ethics — Part 2,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
926,Text,1/5/1997,"Ten Thousand Dreams Interpreted; Or, What's in a Dream
A Scientific and Practical Exposition",en,"Miller, Gustavus Hindman, 1857-1929",Dreams -- Dictionaries; Dream interpretation; Dreams,BF,Psychology; Reference
928,Text,1/5/1997,"Alice's Adventures in Wonderland
HTML Edition",en,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,PR; PZ,Best Books Ever Listings; Children's Literature
930,Text,1/6/1997,"The Cook's Decameron
A Study in Taste, Containing over Two Hundred Recipes for Italian Dishes",en,"Waters, W. G., Mrs.","Cooking, Italian",TX,Cookbooks and Cooking
932,Text,1/6/1997,The Fall of the House of Usher,en,"Poe, Edgar Allan, 1809-1849",Short stories; Horror tales; Gothic fiction,PS,Movie Books
938,Text,1/6/1997,Good Indian,en,"Bower, B. M., 1871-1940",Western stories; Ranch life -- Fiction; Idaho -- Fiction,PS,Western
940,Text,5/2/2006,The Last of the Mohicans; A narrative of 1757,en,"Cooper, James Fenimore, 1789-1851","Historical fiction; War stories; United States -- History -- French and Indian War, 1754-1763 -- Fiction; Adventure stories; Frontier and pioneer life -- Fiction; Bumppo, Natty (Fictitious character) -- Fiction; Mohegan Indians -- Fiction",PS,Historical Fiction
944,Text,1/6/1997,The Voyage of the Beagle,en,"Darwin, Charles, 1809-1882",Natural history; Beagle Expedition (1831-1836); Geology; Voyages around the world -- History -- 19th century; South America -- Discovery and exploration,QH,Harvard Classics; Travel
947,Text,5/2/2006,"The Life of Horatio, Lord Nelson",en,"Southey, Robert, 1774-1843","Nelson, Horatio Nelson, Viscount, 1758-1805; Admirals -- Great Britain -- Biography",DA,Napoleonic(Bookshelf)
948,Text,1/6/1997,Ethics — Part 3,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
949,Text,1/6/1997,"Tom Swift and His Submarine Boat; Or, Under the Ocean for Sunken Treasure",en,"Appleton, Victor","Science fiction; Treasure troves -- Juvenile fiction; Submarines (Ships) -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction",PZ,Children's Book Series
950,Text,1/6/1997,"Tom Swift and His Electric Runabout; Or, The Speediest Car on the Road",en,"Appleton, Victor","Swift, Tom (Fictitious character) -- Juvenile fiction; Electric automobiles -- Juvenile fiction",PZ,Children's Book Series
951,Text,1/6/1997,"Tom Swift and His Sky Racer; Or, The Quickest Flight on Record",en,"Appleton, Victor","Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Aeronautics -- Juvenile fiction",PZ,Children's Book Series
952,Text,1/6/1997,"Tom Swift and His Air Glider; Or, Seeking the Platinum Treasure",en,"Appleton, Victor","Swift, Tom (Fictitious character) -- Juvenile fiction; Russia -- Juvenile fiction; Gliders (Aeronautics) -- Juvenile fiction",PZ,Children's Book Series
953,Text,1/6/1997,"Tom Swift and His Big Tunnel; Or, The Hidden City of the Andes",en,"Appleton, Victor","Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Tunnels -- Juvenile fiction; Andes Region -- Juvenile fiction",PZ,Children's Book Series
954,Text,1/6/1997,"Tom Swift and His War Tank; Or, Doing His Bit for Uncle Sam",en,"Appleton, Victor","Swift, Tom (Fictitious character) -- Juvenile fiction; Tanks (Military science) -- Juvenile fiction",PZ,Children's Book Series
955,Text,1/6/1997,The Patchwork Girl of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919",Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Adventure and adventurers -- Juvenile fiction; Magic -- Juvenile fiction; Cats -- Juvenile fiction; Dolls -- Juvenile fiction; Fortune -- Juvenile fiction; Magicians -- Juvenile fiction,PZ,Children's Literature; Fantasy
956,Text,1/6/1997,Tik-Tok of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Brothers -- Juvenile fiction; Dragons -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Girls -- Juvenile fiction; Magic -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Good and evil -- Juvenile fiction; Animals, Mythical -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Mules -- Juvenile fiction; Princess Ozma (Fictitious character) -- Juvenile fiction",PZ,Children's Literature; Fantasy
957,Text,1/6/1997,The Scarecrow of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Islands -- Juvenile fiction; Adventure and adventurers -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Caves -- Juvenile fiction; Girls -- Juvenile fiction; Sailors -- Juvenile fiction; Magic -- Juvenile fiction; Deserts -- Juvenile fiction; Storms -- Juvenile fiction; Mermaids -- Juvenile fiction; Good and evil -- Juvenile fiction; Animals, Mythical -- Juvenile fiction; Scarecrow (Fictitious character from Baum) -- Juvenile fiction; Witches -- Juvenile fiction",PZ,Children's Literature; Fantasy
958,Text,1/6/1997,"Rinkitink in Oz
Wherein Is Recorded the Perilous Quest of Prince Inga of Pingaree and King Rinkitink in the Magical Isles That Lie Beyond the Borderland of Oz",en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Islands -- Juvenile fiction; Friendship -- Juvenile fiction; Adventure and adventurers -- Juvenile fiction; Goats -- Juvenile fiction; Magic -- Juvenile fiction; Escapes -- Juvenile fiction; Enslaved persons -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Good and evil -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Wizard of Oz (Fictitious character) -- Juvenile fiction",PZ,Fantasy
959,Text,1/6/1997,The Lost Princess of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Friendship -- Juvenile fiction; Magic -- Juvenile fiction; Household employees -- Juvenile fiction; Princesses -- Juvenile fiction; Theft -- Juvenile fiction; Good and evil -- Juvenile fiction; Animals, Mythical -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Princess Ozma (Fictitious character) -- Juvenile fiction; Wizard of Oz (Fictitious character) -- Juvenile fiction; Magicians -- Juvenile fiction",PZ,Fantasy
960,Text,1/6/1997,"The Tin Woodman of Oz
A Faithful Story of the Astonishing Adventure Undertaken by the Tin Woodman, Assisted by Woot the Wanderer, the Scarecrow of Oz, and Polychrome, the Rainbow's Daughter",en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Boys -- Juvenile fiction; Magic -- Juvenile fiction; Love -- Juvenile fiction; Soldiers -- Juvenile fiction; Good and evil -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Princess Ozma (Fictitious character) -- Juvenile fiction; Scarecrow (Fictitious character from Baum) -- Juvenile fiction; Witches -- Juvenile fiction; Tin Woodman (Fictitious character) -- Juvenile fiction; Wizards -- Juvenile fiction",PZ,Children's Literature; Fantasy
961,Text,1/7/1997,"Glinda of Oz
In Which Are Related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in Their Hazardous Journey to the Home of the Flatheads, and to the Magic Isle of the Skeezers, and How They Were Rescued from Dire Peril by the Sorcery of Glinda the Good",en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; War stories; Adventure and adventurers -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Magic -- Juvenile fiction; Courage -- Juvenile fiction; Good and evil -- Juvenile fiction; Animals, Mythical -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Witches -- Juvenile fiction; Tribes -- Juvenile fiction",PZ,Children's Literature; Fantasy
964,Text,5/2/2006,The Merry Adventures of Robin Hood,en,"Pyle, Howard, 1853-1911",Folklore -- England; Robin Hood (Legendary character) -- Legends,PZ; PS,Fantasy
965,Text,1/7/1997,The black tulip,en,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888","Tulip Mania, 1634-1637 -- Fiction; Witt, Johan de, 1625-1672 -- Fiction; Netherlands -- History -- 1648-1714 -- Fiction",PQ,Historical Fiction
966,Text,1/7/1997,Maid Marian,en,"Peacock, Thomas Love, 1785-1866","Historical fiction; Love stories; Adventure stories; Maid Marian (Legendary character) -- Fiction; Great Britain -- History -- Richard I, 1189-1199 -- Fiction; Women outlaws -- Fiction; Sherwood Forest (England) -- Fiction; Robin Hood (Legendary character) -- Fiction",PR,Historical Fiction
968,Text,27/4/2006,Martin Chuzzlewit,en,"Dickens, Charles, 1812-1870",Satire; England -- Fiction; Bildungsromans; Young men -- Fiction; Grandfathers -- Fiction; Adventure stories; British -- United States -- Fiction; Black humor; Avarice -- Fiction; United States -- Description and travel -- Fiction,PR,Best Books Ever Listings
971,Text,1/7/1997,Ethics — Part 4,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
972,Text,1/7/1997,The Devil's Dictionary,en,"Bierce, Ambrose, 1842-1914?",English language -- Dictionaries -- Humor; English language -- Semantics -- Humor; Vocabulary -- Humor,PS,Humor; Reference
973,Text,5/2/2006,"Howard Pyle's Book of Pirates
Fiction, Fact & Fancy Concerning the Buccaneers & Marooners of the Spanish Main",en,"Pyle, Howard, 1853-1911","Spanish Main -- Fiction; Pirates -- Fiction; Sea stories, American; Buccaneers -- Fiction; Historical fiction, American",PS,"Pirates, Buccaneers, Corsairs, etc."
974,Text,1/7/1997,The Secret Agent: A Simple Tale,en,"Conrad, Joseph, 1857-1924",London (England) -- Fiction; Political fiction; Conspiracies -- Fiction; Anarchists -- Fiction; Bombings -- Fiction,PR,Mystery Fiction
975,Text,1/7/1997,Ethics — Part 5,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Ethics,B,Philosophy
976,Text,1/7/1997,Tanglewood Tales,en,"Hawthorne, Nathaniel, 1804-1864","Mythology, Classical -- Juvenile literature",PZ,Children's Literature
981,Text,1/7/1997,Beowulf,en,"Gummere, Francis Barton, 1855-1919 [Translator]","Epic poetry, English (Old); Monsters -- Poetry; Dragons -- Poetry; Scandinavia -- Poetry",PR,Poetry
982,Text,1/7/1997,The Book of Nonsense,en,"Lear, Edward, 1812-1888","Limericks, Juvenile; Children's poetry, English; Nonsense verses, English; Humorous poetry, English",PR; PZ,Humor; Children's Verse
983,Text,1/7/1997,"Tour through the Eastern Counties of England, 1722",en,"Defoe, Daniel, 1661?-1731",England -- Description and travel -- Early works to 1800,DA,United Kingdom
984,Text,1/7/1997,"Who Was Who: 5000 B. C. to Date
Biographical Dictionary of the Famous and Those Who Wanted to Be",en,"Gordon, Irwin Leslie, 1888-1954 [Editor]",American wit and humor; Parodies; Biography -- Humor,PN,Biographies
987,Text,1/7/1997,"The Scientific Monthly, October to December, 1915",en,"Various; Cattell, James McKeen, 1860-1944 [Editor]",Science -- Periodicals; Technology -- Periodicals,AP,Popular Science Monthly
989,Text,1/7/1997,Theologico-Political Treatise — Part 1,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Philosophy and religion -- Early works to 1800; Free thought -- Early works to 1800; Political science -- Early works to 1800,B,Philosophy
990,Text,1/7/1997,Theologico-Political Treatise — Part 2,en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Philosophy and religion -- Early works to 1800; Free thought -- Early works to 1800; Political science -- Early works to 1800,B,Philosophy
991,Text,16/7/1997,A Theological-Political Treatise [Part III],en,"Spinoza, Benedictus de, 1632-1677; Elwes, R. H. M. (Robert Harvey Monro), 1853- [Translator]",Philosophy and religion -- Early works to 1800; Free thought -- Early works to 1800; Political science -- Early works to 1800,B,Philosophy
